Id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11
2788,0,0,0,0,0,0,1,0,0,0,1,1
2789,1,0,1,0,0,1,0,1,0,0,2,4
2790,0,0,0,0,1,0,0,0,0,0,1,1
2791,1,0,0,0,1,0,0,0,0,0,1,2
2792,1,0,0,0,1,0,0,1,0,0,2,3
2793,1,0,0,0,0,1,0,0,0,0,1,2
2794,1,1,0,1,0,0,0,0,0,0,0,3
2795,1,0,0,0,1,0,0,0,0,0,1,2
2796,1,0,1,0,1,0,0,0,0,0,1,3
2797,1,0,0,0,1,0,1,0,0,0,2,3
2798,1,0,0,0,0,0,0,0,0,0,0,1
2799,1,1,1,0,0,1,0,0,0,0,1,4
2800,1,0,0,0,1,1,1,0,0,0,3,4
2801,1,0,0,0,1,1,0,0,0,0,2,3
2802,1,0,0,0,1,0,0,0,0,0,1,2
2803,1,0,0,0,0,1,1,1,0,0,3,4
2804,0,0,1,0,1,0,0,1,0,0,2,3
2805,0,0,0,0,0,0,0,0,0,0,0,0
2806,1,1,0,0,0,0,0,1,0,0,1,3
2807,1,0,1,0,0,1,1,0,0,0,2,4
2808,0,0,0,0,0,1,0,0,0,0,1,1
2809,0,0,0,0,0,0,0,0,0,0,0,0
2810,0,0,0,0,0,1,1,0,0,0,2,2
2811,1,0,0,0,0,1,1,0,0,0,2,3
2812,1,0,0,0,0,0,0,0,0,0,0,1
2813,1,0,0,0,0,0,0,0,0,0,0,1
2814,1,0,0,0,0,1,1,0,0,0,2,3
2815,0,0,0,0,0,1,0,1,0,0,2,2
2816,1,0,0,0,0,0,0,0,0,0,0,1
2817,1,0,0,0,1,0,0,1,0,0,2,3
2818,1,0,0,0,0,0,0,0,0,0,0,1
2819,1,0,0,0,1,0,0,0,0,0,1,2
2820,1,0,0,0,0,1,0,0,0,0,1,2
2821,1,0,0,0,1,1,0,0,0,0,2,3
2822,1,0,0,0,1,0,0,0,0,0,1,2
2823,0,0,0,0,1,1,0,0,0,0,2,2
2824,0,0,0,0,0,0,0,0,0,0,0,0
2825,1,0,0,0,0,0,1,0,0,0,1,2
2826,0,0,0,0,0,0,0,0,0,0,0,0
2827,0,0,0,0,1,1,0,0,0,0,2,2
2828,0,0,0,0,0,0,0,0,0,0,0,0
2829,1,0,0,0,0,1,1,0,0,0,2,3
2830,1,0,0,0,0,0,0,0,0,0,0,1
2831,0,0,0,0,0,0,0,0,0,0,0,0
2832,1,0,0,0,1,0,0,0,0,0,1,2
2833,1,0,0,0,0,0,1,0,0,0,1,2
2834,0,0,0,0,0,0,0,0,0,0,0,0
2835,0,0,0,0,1,0,0,0,0,0,1,1
2836,1,0,1,0,0,0,0,1,0,0,1,3
2837,1,0,1,0,0,1,0,0,0,0,1,3
2838,1,0,0,0,1,0,1,0,0,0,2,3
2839,0,0,0,0,0,1,0,0,0,0,1,1
2840,1,0,0,0,0,0,0,1,0,0,1,2
2841,1,0,0,0,0,0,1,0,0,0,1,2
2842,0,0,0,0,1,0,0,0,0,0,1,1
2843,0,0,0,0,0,0,0,0,0,0,0,0
2844,0,0,0,0,0,0,0,1,0,0,1,1
2845,1,0,0,0,1,0,0,0,0,0,1,2
2846,1,0,1,0,1,0,0,0,0,0,1,3
