Id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
9,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,4
10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5
13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,5
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3
25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
27,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
31,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
34,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
37,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
41,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
42,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3
43,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
44,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
54,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
55,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
59,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4
60,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
