Id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20
16954,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2
16955,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
16956,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
16957,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2
16958,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
16959,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
16960,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
16961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16963,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
16964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16965,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,3
16966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16967,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
16968,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
16969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16971,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
16972,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
16973,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
16974,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
16975,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,3
16976,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
16977,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2
16978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16979,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2
16980,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
16981,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
16982,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
16983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
16984,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
16985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
16986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16987,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
16988,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
16989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16990,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2
16991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16993,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
16994,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
16995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
16996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
16998,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
16999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
17000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
17001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
17003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
17004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
17008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
17011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
17012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17013,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
17014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,2
17015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17016,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,3
17017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
17018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
17019,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
17020,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
17021,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
17022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17023,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
17024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
17025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17026,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
17027,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
17028,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
17029,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
17030,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
17031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17032,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
17033,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
17034,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2
17035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17037,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
