Id,f,f2,f3,n_words,n_sentences,sentenc_ave_size
8070,0,0,0,9,2,4.500000
8071,1,1,1,43,4,10.750000
8072,0,0,0,61,4,15.250000
8073,1,1,1,46,3,15.333333
8074,0,1,1,41,2,20.500000
8075,0,0,0,15,2,7.500000
8076,1,1,1,36,3,12.000000
8077,1,2,1,59,4,14.750000
8078,1,1,1,64,2,32.000000
8079,1,1,1,58,6,9.666667
8080,2,1,2,61,4,15.250000
8081,2,1,1,62,4,15.500000
8082,1,0,1,59,3,19.666667
8083,0,0,0,35,2,17.500000
8084,0,1,1,64,5,12.800000
8085,0,1,1,39,2,19.500000
8086,0,0,1,53,3,17.666667
8087,2,2,2,58,5,11.600000
8088,0,1,0,29,3,9.666667
8089,0,0,0,68,5,13.600000
8090,1,1,1,52,2,26.000000
8091,0,0,0,42,2,21.000000
8092,0,1,1,66,4,16.500000
8093,2,2,2,63,5,12.600000
8094,2,2,2,64,4,16.000000
8095,2,1,1,36,3,12.000000
8096,1,1,1,72,2,36.000000
8097,0,0,0,60,5,12.000000
8098,1,1,0,48,3,16.000000
8099,1,0,0,23,3,7.666667
8100,0,1,1,54,4,13.500000
8101,2,2,2,62,5,12.400000
8102,0,0,0,47,3,15.666667
8103,1,1,1,27,3,9.000000
8104,1,1,1,39,3,13.000000
8105,1,1,1,43,2,21.500000
8106,1,1,0,68,4,17.000000
8107,1,1,1,44,2,22.000000
8108,1,2,2,62,5,12.400000
8109,1,1,1,51,3,17.000000
8110,1,1,1,40,2,20.000000
8111,1,1,1,35,4,8.750000
8112,0,0,1,37,3,12.333333
8113,0,0,0,17,2,8.500000
8114,1,1,1,61,4,15.250000
8115,0,0,0,16,2,8.000000
8116,0,0,0,35,3,11.666667
8117,1,0,1,38,3,12.666667
8118,0,0,1,56,3,18.666667
8119,1,2,2,66,5,13.200000
8120,0,0,0,18,2,9.000000
8121,1,1,0,25,2,12.500000
8122,1,1,1,18,2,9.000000
8123,1,1,1,35,3,11.666667
8124,0,0,0,43,4,10.750000
8125,0,0,0,31,3,10.333333
8126,0,0,0,55,6,9.166667
8127,1,1,1,26,3,8.666667
8128,1,0,1,25,3,8.333333
8129,0,0,0,43,2,21.500000
8130,0,0,0,38,3,12.666667
8131,1,1,1,37,3,12.333333
8132,0,0,0,45,4,11.250000
8133,0,0,0,50,5,10.000000
8134,2,1,2,49,3,16.333333
8135,0,1,1,74,7,10.571429
8136,1,1,1,70,4,17.500000
8137,1,1,1,60,4,15.000000
8138,0,0,0,54,5,10.800000
